year,season,league_name,week,team_1,team_2,Blue,Red,MH,set_number
2017.0,spring,OPL,7,,,Av,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/110375?gameHash=39b904e48756565f&tab=overview,2.0
2017.0,spring,OPL,8,DW,TM,DW,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120007?gameHash=f96d187580515dfa&tab=overview,1.0
2017.0,spring,OPL,8,,,TM,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120013?gameHash=cfe79f33a0f444f4&tab=overview,2.0
2017.0,spring,OPL,8,LGC,SIN,LGC,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120016?gameHash=ec2fa424866c826d&tab=overview,1.0
2017.0,spring,OPL,8,,,SIN,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120022?gameHash=a786ae1f93ed37f5&tab=overview,2.0
2017.0,spring,OPL,8,X5,CHF,X5,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120071?gameHash=20238b2024ec8cd2&tab=overview,1.0
2017.0,spring,OPL,8,,,CHF,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120079?gameHash=41b9b8e0c7ee9138&tab=overview,2.0
2017.0,spring,OPL,8,ABY,Av,Av,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120087?gameHash=c06d1d399b11c112&tab=overview,1.0
2017.0,spring,OPL,8,,,ABY,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120088?gameHash=27721f0de68c6321&tab=overview,2.0
2017.0,spring,OPL,8,,,Av,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120089?gameHash=f311b17e4e6fe4de&tab=overview,3.0
2017.0,spring,OPL,9,Av,LGC,Av,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/130186?gameHash=7908a7a42b8afc18&tab=overview,1.0
2017.0,spring,OPL,9,,,LGC,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/130194?gameHash=bdaf728a97307542&tab=overview,2.0
2017.0,spring,OPL,9,DW,CHF,CHF,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/130195?gameHash=fa9d5c160173612a&tab=overview,1.0
2017.0,spring,OPL,9,,,DW,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/130201?gameHash=b8fce9a00260b941&tab=overview,2.0
2017.0,spring,OPL,9,SIN,ABY,SIN,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120263?gameHash=6c35383389ccd5e1&tab=overview,1.0
2017.0,spring,OPL,9,,,ABY,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120273?gameHash=83f596bbd70a51dd&tab=overview,2.0
2017.0,spring,OPL,9,TM,X5,TM,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120274?gameHash=4b6a8e53af71de59&tab=overview,1.0
2017.0,spring,OPL,9,,,X5,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120282?gameHash=c988f522988d8edb&tab=overview,2.0
2017.0,spring,OPL,9,,,TM,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/120284?gameHash=a052e437157dd7f4&tab=overview,3.0
2017.0,spring,OPL,10,CHF,TM,CHF,TM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140019?gameHash=03f7bbce946d21f8&tab=overview,1.0
2017.0,spring,OPL,10,,,TM,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140026?gameHash=56fc4683008b79c0&tab=overview,2.0
2017.0,spring,OPL,10,Av,SIN,Av,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140028?gameHash=d7ec5b2469ba4afa&tab=overview,1.0
2017.0,spring,OPL,10,,,SIN,Av,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140037?gameHash=a422c78c8e54d36a&tab=overview,2.0
2017.0,spring,OPL,10,,,Av,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140039?gameHash=64b404bdd7c260cf&tab=overview,3.0
2017.0,spring,OPL,10,DW,X5,DW,X5,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140052?gameHash=a49af9bb95923389&tab=overview,1.0
2017.0,spring,OPL,10,,,X5,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140058?gameHash=fe169b105bbc763f&tab=overview,2.0
2017.0,spring,OPL,10,ABY,LGC,ABY,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140059?gameHash=1475ab6e58b52ce5&tab=overview,1.0
2017.0,spring,OPL,10,,,LGC,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/140065?gameHash=a214bc98521785f2&tab=overview,2.0
