year,season,league_name,week,team_1,team_2,Blue,Red,MH,Vod,PB,Start,set_number
2017.0,summer,OPL,1,,,tM,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/220105?gameHash=f26addf8551260c6&tab=overview,http://youtube.com/watch?v=nuLnJfYq8AU?t=5m48s,https://youtube.com/watch?v=nuLnJfYq8AU&t=5m48s,https://youtube.com/watch?v=nuLnJfYq8AU&t=12m57s,2.0
2017.0,summer,OPL,2,RGC,DW,RGC,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230295?gameHash=9ced1937fe9ac212&tab=overview,http://youtube.com/watch?v=WPgOtjF0VsQ?t=11m31s,https://youtube.com/watch?v=WPgOtjF0VsQ&t=11m31s,https://youtube.com/watch?v=WPgOtjF0VsQ&t=18m15s,1.0
2017.0,summer,OPL,2,,,DW,RGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230303?gameHash=b9c60eab07903ce8&tab=overview,http://youtube.com/watch?v=NptcKp0Zvb8?t=35s,https://youtube.com/watch?v=NptcKp0Zvb8&t=35s,https://youtube.com/watch?v=NptcKp0Zvb8&t=6m45s,2.0
2017.0,summer,OPL,2,LGC,AV,LGC,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230304?gameHash=f169968754593496&tab=overview,http://youtube.com/watch?v=OmN9PL5IzYg?t=10m13s,https://youtube.com/watch?v=OmN9PL5IzYg&t=10m13s,https://youtube.com/watch?v=OmN9PL5IzYg&t=17m37s,1.0
2017.0,summer,OPL,2,,,AV,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230314?gameHash=11acfb21b6f201f7&tab=overview,http://youtube.com/watch?v=Mn06fk5JWa4?t=1m,https://youtube.com/watch?v=Mn06fk5JWa4&t=1m,https://youtube.com/watch?v=Mn06fk5JWa4&t=9m,2.0
2017.0,summer,OPL,2,,,LGC,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230315?gameHash=c10adb2724861ca2&tab=overview,http://youtube.com/watch?v=2dgEOyCBB6w?t=19s,https://youtube.com/watch?v=2dgEOyCBB6w&t=19s,https://youtube.com/watch?v=2dgEOyCBB6w&t=7m19s,3.0
2017.0,summer,OPL,2,CHF,ABY,CHF,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230387?gameHash=65d2324f46badbda&tab=overview,http://youtube.com/watch?v=pUXjoCvEEEA?t=9m57s,https://youtube.com/watch?v=pUXjoCvEEEA&t=9m57s,https://youtube.com/watch?v=pUXjoCvEEEA&t=16m42s,1.0
2017.0,summer,OPL,2,,,ABY,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230395?gameHash=771f7bb5b86d27d2&tab=overview,http://youtube.com/watch?v=J-46b4NAe84?t=48s,https://youtube.com/watch?v=J-46b4NAe84&t=48s,https://youtube.com/watch?v=J-46b4NAe84&t=7m48s,2.0
2017.0,summer,OPL,2,tM,SIN,SIN,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230396?gameHash=594932bb478913f7&tab=overview,http://youtube.com/watch?v=g-vfCQxa_4k?t=8m35s,https://youtube.com/watch?v=g-vfCQxa_4k&t=8m35s,https://youtube.com/watch?v=g-vfCQxa_4k&t=14m54s,1.0
2017.0,summer,OPL,2,,,tM,SIN,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230409?gameHash=3372d5029449902a&tab=overview,http://youtube.com/watch?v=VR6P5SLxnO8?t=2m9s,https://youtube.com/watch?v=VR6P5SLxnO8&t=2m9s,https://youtube.com/watch?v=VR6P5SLxnO8&t=8m35s,2.0
2017.0,summer,OPL,2,,,SIN,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/230412?gameHash=c5e7eae71c7d6364&tab=overview,http://youtube.com/watch?v=YS61_3QlRRA?t=31s,https://youtube.com/watch?v=YS61_3QlRRA&t=31s,https://youtube.com/watch?v=YS61_3QlRRA&t=6m58s,3.0
2017.0,summer,OPL,3,SIN,AV,SIN,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240038?gameHash=8ec0f64d6374bcec&tab=overview,http://youtube.com/watch?v=1mButghKx6U?t=11m25s,https://youtube.com/watch?v=1mButghKx6U&t=11m25s,https://youtube.com/watch?v=1mButghKx6U&t=17m5s,1.0
2017.0,summer,OPL,3,,,AV,SIN,,http://youtube.com/watch?v=wHKCT3uNsXc?t=22s,https://youtube.com/watch?v=wHKCT3uNsXc&t=22s,https://youtube.com/watch?v=wHKCT3uNsXc&t=7m30s,2.0
2017.0,summer,OPL,3,,,SIN,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240045?gameHash=cdd51f96fd9bde87&tab=overview,http://youtube.com/watch?v=7-y9YWjl084?t=5m47s,https://youtube.com/watch?v=7-y9YWjl084&t=5m47s,https://youtube.com/watch?v=7-y9YWjl084&t=12m45s,3.0
2017.0,summer,OPL,3,CHF,RGC,RGC,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240046?gameHash=68dee23bdded201a&tab=overview,http://youtube.com/watch?v=Uq8cJSCTjoA?t=10m14s,https://youtube.com/watch?v=Uq8cJSCTjoA&t=10m14s,https://youtube.com/watch?v=Uq8cJSCTjoA&t=18m5s,1.0
2017.0,summer,OPL,3,,,CHF,RGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240052?gameHash=5b7abd959715bac4&tab=overview,http://youtube.com/watch?v=kVAvdwkxfyE?t=30s,https://youtube.com/watch?v=kVAvdwkxfyE&t=30s,https://youtube.com/watch?v=kVAvdwkxfyE&t=8m10s,2.0
2017.0,summer,OPL,3,LGC,tM,tM,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240084?gameHash=af28601d28e37330&tab=overview,http://youtube.com/watch?v=wlo8qNIPHuU?t=13m30s,https://youtube.com/watch?v=wlo8qNIPHuU&t=13m30s,https://youtube.com/watch?v=wlo8qNIPHuU&t=20m55s,1.0
2017.0,summer,OPL,3,,,LGC,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240089?gameHash=22dab3ebbe7dde79&tab=overview,http://youtube.com/watch?v=cg1Z8Za0JIk?t=19s,https://youtube.com/watch?v=cg1Z8Za0JIk&t=19s,https://youtube.com/watch?v=cg1Z8Za0JIk&t=6m5s,2.0
2017.0,summer,OPL,3,,,tM,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240090?gameHash=25d5ff329d7a6c51&tab=overview,http://youtube.com/watch?v=I1VzXj78wOc?t=31s,https://youtube.com/watch?v=I1VzXj78wOc&t=31s,https://youtube.com/watch?v=I1VzXj78wOc&t=7m36s,3.0
2017.0,summer,OPL,3,DW,ABY,ABY,DW,http://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240091?gameHash=a79c80143c752c9a&tab=overview,http://youtube.com/watch?v=7XjhEMQdHEI?t=7m,https://youtube.com/watch?v=7XjhEMQdHEI&t=7m,https://youtube.com/watch?v=7XjhEMQdHEI&t=13m38s,1.0
2017.0,summer,OPL,3,,,DW,ABY,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/240096?gameHash=56121242645c1304&tab=overview,http://youtube.com/watch?v=yn8SALGRYa4?t=39s,https://youtube.com/watch?v=yn8SALGRYa4&t=39s,https://youtube.com/watch?v=yn8SALGRYa4&t=7m5s,2.0
2017.0,summer,OPL,4,LGC,RGC,LGC,RGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260129?gameHash=4877ca64c6fccd8c&tab=overview,http://youtube.com/watch?v=YyvGGVEB2YQ?t=11m28s,https://youtube.com/watch?v=YyvGGVEB2YQ&t=11m28s,https://youtube.com/watch?v=YyvGGVEB2YQ&t=17m40s,1.0
2017.0,summer,OPL,4,,,RGC,LGC,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260135?gameHash=eb6dc852256865fc&tab=overview,http://youtube.com/watch?v=UM75Q4fvxPg?t=24s,https://youtube.com/watch?v=UM75Q4fvxPg&t=24s,https://youtube.com/watch?v=UM75Q4fvxPg&t=7m48s,2.0
2017.0,summer,OPL,4,AV,DW,DW,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260136?gameHash=8ded36fd99fb1ffa&tab=overview,http://youtube.com/watch?v=k2sYSsK9icg?t=18m37s,https://youtube.com/watch?v=k2sYSsK9icg&t=18m37s,https://youtube.com/watch?v=k2sYSsK9icg&t=25m8s,1.0
2017.0,summer,OPL,4,,,AV,DW,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260141?gameHash=be862784852cbf4e&tab=overview,http://youtube.com/watch?v=kfvgaUv4_yE?t=44s,https://youtube.com/watch?v=kfvgaUv4_yE&t=44s,https://youtube.com/watch?v=kfvgaUv4_yE&t=7m28s,2.0
2017.0,summer,OPL,4,,,DW,AV,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260143?gameHash=8d5b66cf464d4291&tab=overview,http://youtube.com/watch?v=TkU3GI0syfM?t=50s,https://youtube.com/watch?v=TkU3GI0syfM&t=50s,https://youtube.com/watch?v=TkU3GI0syfM&t=7m5s,3.0
2017.0,summer,OPL,4,tM,CHF,tM,CHF,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260225?gameHash=c53a14caff1a0e01&tab=overview,http://youtube.com/watch?v=Kvv3n5ZYJbE?t=13m8s,https://youtube.com/watch?v=Kvv3n5ZYJbE&t=13m8s,https://youtube.com/watch?v=Kvv3n5ZYJbE&t=20m55s,1.0
2017.0,summer,OPL,4,,,CHF,tM,http://matchhistory.oce.leagueoflegends.com/en/#match-details/ESPORTSTMNT03/260232?gameHash=35b610d009aae83f&tab=overview,http://youtube.com/watch?v=jUzQphkm7C0?t=17s,https://youtube.com/watch?v=jUzQphkm7C0&t=17s,https://youtube.com/watch?v=jUzQphkm7C0&t=8m25s,2.0
