year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,PB,set_number
2018.0,spring,LCS_a,2,FOX.A,TSM.A,FOX.A,TSM.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490016?gameHash=f432613778aed6a5,https://www.youtube.com/watch?v=qBjE_5xZ7CA#t=1m8s,https://www.youtube.com/watch?v=qBjE_5xZ7CA,1.0
2018.0,spring,LCS_a,2,C9.A,100.A,C9.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490019?gameHash=0453c213d978b153,https://www.youtube.com/watch?v=huN4tOJtQms#t=1m13s,https://www.youtube.com/watch?v=huN4tOJtQms,1.0
2018.0,spring,LCS_a,2,OPT.A,FLY.A,OPT.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/500018?gameHash=efbaaa5443e8be2c,https://www.youtube.com/watch?v=JPv7bxSkaYM#t=1m12s,https://www.youtube.com/watch?v=JPv7bxSkaYM,1.0
2018.0,spring,LCS_a,2,GG.A,CLG.A,GG.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490027?gameHash=9e28e7c51c8fedfa,https://www.youtube.com/watch?v=G4sij5iPvKY#t=1m19s,https://www.youtube.com/watch?v=G4sij5iPvKY,1.0
2018.0,spring,LCS_a,2,TL.A,CG.A,TL.A,CG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490029?gameHash=de18e95fc362c586,https://www.youtube.com/watch?v=ii8APNSqypA#t=30s,https://www.youtube.com/watch?v=ii8APNSqypA,1.0
2018.0,spring,LCS_a,2,CG.A,CLG.A,CG.A,CLG.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490037?gameHash=4d30c54e08aa99a9,https://www.youtube.com/watch?v=ijJzQNa4ovQ#t=13m55s,https://www.youtube.com/watch?v=ijJzQNa4ovQ#t=7m26s,1.0
2018.0,spring,LCS_a,2,TSM.A,OPT.A,TSM.A,OPT.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490040?gameHash=6bc422f89ae02dc0,https://www.youtube.com/watch?v=Ok5S1YE0CfE#t=11m7s,https://www.youtube.com/watch?v=Ok5S1YE0CfE#t=3m32s,1.0
2018.0,spring,LCS_a,2,C9.A,FOX.A,C9.A,FOX.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490046?gameHash=5ac3f1798b67f00a,https://www.youtube.com/watch?v=sDt4zSQkiK0#t=7m58s,https://www.youtube.com/watch?v=sDt4zSQkiK0#t=2m12s,1.0
2018.0,spring,LCS_a,2,100.A,TL.A,TL.A,100.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490057?gameHash=0e4f1a4d1de5fabe,https://www.youtube.com/watch?v=P7bSVs9A8AI#t=8m38s,https://www.youtube.com/watch?v=P7bSVs9A8AI#t=2m44s,1.0
2018.0,spring,LCS_a,2,GG.A,FLY.A,GG.A,FLY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/490063?gameHash=6a6ead99d1645a8f,https://www.youtube.com/watch?v=MobxbFPMi7E#t=9m48s,https://www.youtube.com/watch?v=MobxbFPMi7E#t=2m39s,1.0
