year,season,league_name,week,team_1,team_2,Blue,Red,MH,Start,HL,PB,set_number
2019.0,summer,TPL_a,8,IWC.A,BS.A,BS.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980657?gameHash=59d1858e69419c95&tab=overview,https://youtu.be/8iIbybEfX1k?t=464,https://www.youtube.com/watch?v=Y9VOx2EK50A,https://youtu.be/8iIbybEfX1k?t=1,1.0
2019.0,summer,TPL_a,8,DP.A,BJK.A,BJK.A,DP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980662?gameHash=7e3f4e3c3399135d&tab=overview,https://youtu.be/FFhbh1r2SJc?t=452,https://www.youtube.com/watch?v=TPKG5ubK_sM,https://youtu.be/FFhbh1r2SJc?t=1,1.0
2019.0,summer,TPL_a,8,FB.A,AUR.A,FB.A,AUR.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980670?gameHash=22635eb56572d212&tab=overview,https://youtu.be/pbupx8Bq8Fo?t=360,https://www.youtube.com/watch?v=ADa0D6zV4Hw,https://youtu.be/pbupx8Bq8Fo?t=1,1.0
2019.0,summer,TPL_a,8,GAL.A,RY.A,,,,,,,1.0
2019.0,summer,TPL_a,8,GS.A,SUP.A,SUP.A,GS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/980678?gameHash=1585cd07bccaef82&tab=overview,https://youtu.be/rYjxuyXNooo?t=433,https://www.youtube.com/watch?v=vEs-lct9bAk,https://youtu.be/rYjxuyXNooo?t=1,1.0
2019.0,summer,TPL_a,8,BS.A,DP.A,DP.A,BS.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990624?gameHash=73e41adcd903f807&tab=overview,https://youtu.be/yl7W1gpy0KI?t=369,https://www.youtube.com/watch?v=BUMREa-5OCY,https://youtu.be/yl7W1gpy0KI?t=1,1.0
2019.0,summer,TPL_a,8,RY.A,GS.A,GS.A,RY.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990626?gameHash=bcad2aa3085d79e8&tab=overview,https://youtu.be/Kemhzs-stns?t=427,https://www.youtube.com/watch?v=GIlkszWIroY,https://youtu.be/Kemhzs-stns?t=1,1.0
2019.0,summer,TPL_a,8,SUP.A,AUR.A,AUR.A,SUP.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990636?gameHash=065fc6fcbb264384&tab=overview,https://youtu.be/i-RGmRdWYa8?t=382,https://www.youtube.com/watch?v=fQldD0TQgeE,https://youtu.be/i-RGmRdWYa8?t=1,1.0
2019.0,summer,TPL_a,8,BJK.A,FB.A,BJK.A,FB.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990651?gameHash=deba81a432b85332&tab=overview,https://youtu.be/UkJKOQyqRdk?t=339,https://www.youtube.com/watch?v=BalwidIn-2k,https://youtu.be/UkJKOQyqRdk?t=1,1.0
2019.0,summer,TPL_a,8,GAL.A,IWC.A,GAL.A,IWC.A,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT04/990653?gameHash=08ce32b93dd60d79&tab=overview,https://youtu.be/RFBYTy7QVdI?t=474,https://www.youtube.com/watch?v=7KcTUACTuHs,https://youtu.be/RFBYTy7QVdI?t=1,1.0
