year,season,league_name,week,team_1,team_2,Blue,Red,MH,PB,Start,Post,MVP,HL,set_number
2019.0,spring,CBLOL,8,UP,KBM,UP,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033869?gameHash=f5f949287aee25c4&tab=overview,https://www.youtube.com/watch?v=PPdtDMJ8cS4&t=45s,https://www.youtube.com/watch?v=PPdtDMJ8cS4&t=524s,https://youtu.be/PPdtDMJ8cS4?t=2499,DyNquedo,https://www.youtube.com/watch?v=oebj6Hys3aY,1.0
2019.0,spring,CBLOL,8,ITZ,RDP,ITZ,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1033879?gameHash=fb969bb6b65a76c9&tab=overview,https://www.youtube.com/watch?v=MUJF2Jua8xw&t=75s,https://www.youtube.com/watch?v=MUJF2Jua8xw&t=524s,https://youtu.be/MUJF2Jua8xw?t=2869,Envy,https://www.youtube.com/watch?v=RRU_GYVM-60,1.0
2019.0,spring,CBLOL,8,FLA,UP,FLA,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1024179?gameHash=f421f3fc0d65e0b3,https://www.youtube.com/watch?v=FHkehJwXwf4&t=49s,https://www.youtube.com/watch?v=FHkehJwXwf4&t=461s,https://youtu.be/FHkehJwXwf4?t=2473,brTT,https://www.youtube.com/watch?v=72zvcGBsMmM,1.0
2019.0,spring,CBLOL,8,RDP,CNB,RDP,CNB,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1024200?gameHash=0da0e5e2c098b777,https://www.youtube.com/watch?v=ra5dEqLdWiU&t=41s,https://www.youtube.com/watch?v=ra5dEqLdWiU&t=496s,https://youtu.be/ra5dEqLdWiU?t=2193,Nyu,https://www.youtube.com/watch?v=TjXJnNI2oQM,1.0
2019.0,spring,CBLOL,8,KBM,VK,KBM,VK,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1024212?gameHash=9afa1d690caec1a0,https://www.youtube.com/watch?v=I1aqPoMCcSQ&t=41s,https://www.youtube.com/watch?v=I1aqPoMCcSQ&t=454s,https://youtu.be/I1aqPoMCcSQ?t=2514,Ranger,https://www.youtube.com/watch?v=-iM7rZ4FZ3Q,1.0
2019.0,spring,CBLOL,8,ITZ,PRG,ITZ,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT03/1024233?gameHash=f57db0c721182dc0,https://www.youtube.com/watch?v=1c3k1wCwUPU&t=39s,https://www.youtube.com/watch?v=1c3k1wCwUPU&t=473s,https://youtu.be/1c3k1wCwUPU?t=2483,Envy,https://www.youtube.com/watch?v=nbo-x_Q3q2E,1.0
2019.0,spring,CBLOL,9,VK,ITZ,VK,ITZ,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1071668?gameHash=b4cf3aaa57a94a98&tab=overview,https://www.youtube.com/watch?v=8rUT1Ekokqs&t=41s,https://www.youtube.com/watch?v=8rUT1Ekokqs&t=524s,https://youtu.be/8rUT1Ekokqs?t=3883,Hauz,https://www.youtube.com/watch?v=oK4jYVYBmfs,1.0
2019.0,spring,CBLOL,9,CNB,KBM,CNB,KBM,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1071687?gameHash=38b863dd2e7a47f8&tab=overview,https://www.youtube.com/watch?v=_PRq6vh33bg&t=45s,https://www.youtube.com/watch?v=_PRq6vh33bg&t=547s,https://youtu.be/_PRq6vh33bg?t=2747,PbO,https://www.youtube.com/watch?v=Pc7yOKEX7HY,1.0
2019.0,spring,CBLOL,9,UP,PRG,UP,PRG,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1071707?gameHash=98166aa358fe45a1&tab=overview,https://www.youtube.com/watch?v=ivrpupxTmD8&t=50s,https://www.youtube.com/watch?v=ivrpupxTmD8&t=486s,https://youtu.be/ivrpupxTmD8?t=2283,Alternative,https://www.youtube.com/watch?v=K4LId4nxcVg,1.0
2019.0,spring,CBLOL,9,FLA,RDP,FLA,RDP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1071726?gameHash=36af90076a58b4ce&tab=overview,https://www.youtube.com/watch?v=xlZgHZOklyo&t=46s,https://www.youtube.com/watch?v=xlZgHZOklyo&t=427s,https://youtu.be/xlZgHZOklyo?t=3022,Robo,https://www.youtube.com/watch?v=tm8HkFYcnmk,1.0
2019.0,spring,CBLOL,9,CNB,UP,CNB,UP,https://matchhistory.br.leagueoflegends.com/pt/#match-details/ESPORTSTMNT01/1072010?gameHash=45c68fb33002fdf6&tab=overview,https://www.youtube.com/watch?v=-pv1AriVLmY&t=51s,https://www.youtube.com/watch?v=-pv1AriVLmY&t=465s,https://youtu.be/-pv1AriVLmY?t=2852,Aslan,https://www.youtube.com/watch?v=z8JqICLnXqg,1.0
