match_id,set_number,set_match_id,league_id,year,season,date,home_team_id,away_team_id,tiebreaker,match_round,team_1,team_2,league_name,ckpm,game_length
6413,1,10990,16,2019,spring,2019-02-16,300,369,0,5,Detonation FocusMe,Unsold Stuff Gaming,LJL,0.4227,2555.0
6414,1,10991,16,2019,spring,2019-02-16,220,156,0,5,Burning Core,Crest Gaming Act,LJL,0.5766,1977.0
6415,1,10992,16,2019,spring,2019-02-16,220,228,0,5,Burning Core,AXIZ,LJL,0.5017,1794.0
6416,1,10993,16,2019,spring,2019-02-16,141,228,0,5,V3 Esports,AXIZ,LJL,0.7828,2376.0
6417,1,10994,16,2019,spring,2019-02-24,120,220,0,6,Rascal Jester,Burning Core,LJL,1.0659,1745.0
6418,1,10995,16,2019,spring,2019-02-24,403,220,0,6,Sengoku Gaming,Burning Core,LJL,0.5906,2235.0
6419,1,10996,16,2019,spring,2019-02-24,403,120,0,6,Sengoku Gaming,Rascal Jester,LJL,0.7429,1696.0
6420,1,10997,16,2019,spring,2019-02-24,300,228,0,6,Detonation FocusMe,AXIZ,LJL,0.5066,1658.0
6421,1,10998,16,2019,spring,2019-02-24,156,228,0,6,Crest Gaming Act,AXIZ,LJL,0.5165,1975.0
6422,1,10999,16,2019,spring,2019-02-24,141,300,0,6,V3 Esports,Detonation FocusMe,LJL,0.778,1928.0
6423,1,11000,16,2019,spring,2019-02-24,156,369,0,6,Crest Gaming Act,Unsold Stuff Gaming,LJL,0.3013,2589.0
6424,1,11001,16,2019,spring,2019-03-01,228,120,0,7,AXIZ,Rascal Jester,LJL,0.6789,2298.0
6425,1,11002,16,2019,spring,2019-03-01,228,403,0,7,AXIZ,Sengoku Gaming,LJL,0.6408,1779.0
6426,1,11003,16,2019,spring,2019-03-01,403,300,0,7,Sengoku Gaming,Detonation FocusMe,LJL,0.378,2381.0
6427,1,11004,16,2019,spring,2019-03-02,156,300,0,7,Crest Gaming Act,Detonation FocusMe,LJL,0.6671,1619.0
6428,1,11005,16,2019,spring,2019-03-02,220,300,0,7,Burning Core,Detonation FocusMe,LJL,0.4444,1755.0
6429,1,11006,16,2019,spring,2019-03-02,220,141,0,7,Burning Core,V3 Esports,LJL,0.6902,2521.0
6430,1,11007,16,2019,spring,2019-03-02,156,141,0,7,Crest Gaming Act,V3 Esports,LJL,0.5796,2174.0
6431,1,11008,16,2019,spring,2019-03-02,369,403,0,7,Unsold Stuff Gaming,Sengoku Gaming,LJL,0.636,1981.0
6432,1,11009,16,2019,spring,2019-03-10,141,369,0,8,V3 Esports,Unsold Stuff Gaming,LJL,0.7658,2037.0
6433,1,11010,16,2019,spring,2019-03-10,141,120,0,8,V3 Esports,Rascal Jester,LJL,0.8707,1585.0
6434,1,11011,16,2019,spring,2019-03-10,120,300,0,8,Rascal Jester,Detonation FocusMe,LJL,0.8516,1550.0
6435,1,11012,16,2019,spring,2019-03-10,369,156,0,8,Unsold Stuff Gaming,Crest Gaming Act,LJL,0.5584,1934.0
6436,1,11013,16,2019,spring,2019-03-10,403,156,0,8,Sengoku Gaming,Crest Gaming Act,LJL,0.519,2081.0
6437,1,11014,16,2019,spring,2019-03-10,403,220,0,8,Sengoku Gaming,Burning Core,LJL,0.7852,2216.0
6438,1,11015,16,2019,spring,2019-03-10,228,220,0,8,AXIZ,Burning Core,LJL,0.4414,1631.0
6439,1,11016,16,2019,spring,2019-03-10,228,300,0,8,AXIZ,Detonation FocusMe,LJL,0.5452,1871.0
6440,1,11017,16,2019,spring,2019-03-15,120,369,0,9,Rascal Jester,Unsold Stuff Gaming,LJL,0.8511,1551.0
6441,1,11018,16,2019,spring,2019-03-15,369,141,0,9,Unsold Stuff Gaming,V3 Esports,LJL,0.6417,1683.0
6442,1,11019,16,2019,spring,2019-03-15,228,141,0,9,AXIZ,V3 Esports,LJL,0.747,1767.0
6443,1,11020,16,2019,spring,2019-03-15,300,156,0,9,Detonation FocusMe,Crest Gaming Act,LJL,0.3827,2195.0
6444,1,11021,16,2019,spring,2019-03-15,403,228,0,9,Sengoku Gaming,AXIZ,LJL,0.6988,1889.0
6445,1,11022,16,2019,spring,2019-03-16,120,220,0,9,Rascal Jester,Burning Core,LJL,0.9069,2117.0
6446,1,11023,16,2019,spring,2019-03-16,141,156,0,9,V3 Esports,Crest Gaming Act,LJL,0.8831,2242.0
6447,1,11024,16,2019,spring,2019-03-21,228,369,0,10,AXIZ,Unsold Stuff Gaming,LJL,0.7101,1521.0
6448,1,11025,16,2019,spring,2019-03-21,220,369,0,10,Burning Core,Unsold Stuff Gaming,LJL,0.6042,2582.0
6449,1,11026,16,2019,spring,2019-03-21,220,300,0,10,Burning Core,Detonation FocusMe,LJL,0.7461,1528.0
6450,1,11027,16,2019,spring,2019-03-21,300,141,0,10,Detonation FocusMe,V3 Esports,LJL,0.69,1913.0
6451,1,11028,16,2019,spring,2019-03-21,120,156,0,10,Rascal Jester,Crest Gaming Act,LJL,0.7349,2041.0
6452,1,11029,16,2019,spring,2019-03-21,120,403,0,10,Rascal Jester,Sengoku Gaming,LJL,0.7215,2079.0
6453,1,11030,16,2019,spring,2019-03-21,141,403,0,10,V3 Esports,Sengoku Gaming,LJL,0.6229,2119.0
6454,1,11031,16,2019,spring,2019-03-22,141,120,0,11,V3 Esports,Rascal Jester,LJL,0.8525,2041.0
6455,1,11032,16,2019,spring,2019-03-22,228,120,0,11,AXIZ,Rascal Jester,LJL,0.6338,1704.0
6456,1,11033,16,2019,spring,2019-03-22,141,220,0,11,V3 Esports,Burning Core,LJL,0.7265,1817.0
